job_description,position_title,description_length,category,content
"minimum qualifications
bachelors degree or equivalent practical experience years of experience in saas or productivity tools businessexperience managing enterprise accounts with sales cycles
preferred qualifications
 years of experience building strategic business partnerships with enterprise customersability to work through and with a reseller ecosystem to scale the businessability to plan pitch and execute a territory business strategyability to build relationships and to deliver results in a crossfunctionalmatrixed environmentability to identify crosspromoting and uppromoting opportunities within the existing account baseexcellent account management writtenverbal communication strategic and analyticalthinking skills
about the job
as a member of the google cloud team you inspire leading companies schools and government agencies to work smarter with google tools like google workspace search and chrome you advocate the innovative power of our products to make organizations more productive collaborative and mobile your guiding light is doing whats right for the customer you will meet customers exactly where they are at and provide them the best solutions for innovation using your passion for google products you help spread the magic of google to organizations around the world
the google workspace team helps customers transform and evolve their business through the use of googles productivity collaboration and content management suite of applications as part of an entrepreneurial team in this growing business you will help shape the future of businesses use technology to connect with customers employees and partners
as a google workspace sales specialist you will be responsible for maintenance and expansion of google workspace business growth across the region with customers in this role youll create and execute the strategy and provide unique insights on applying google workspace solutions to enterprisesyou will build an excellent pipeline and work with the account teams to build out the customer solution and establish partnerships you will strategize with partners to increase account and territory business growth you will work directly with customers coordinate internal resources and construct successful strategies at account and territory level
google cloud accelerates organizations ability to digitally transform their business with the best infrastructure platform industry solutions and expertise we deliver enterprisegrade solutions that leverage googles cuttingedge technology  all on the cleanest cloud in the industry customers in more than  countries and territories turn to google cloud as their trusted partner to enable growth and solve their most critical business problems",Sales Specialist,2727,SALES,sales specialist minimum qualifications bachelors degree or equivalent practical experience years of experience in saas or productivity tools businessexperience managing enterprise accounts with sales cycles preferred qualifications years of experience building strategic business partnerships with enterprise customersability to work through and with a reseller ecosystem to scale the businessability to plan pitch and execute a territory business strategyability to build relationships and to deliver results in a crossfunctionalmatrixed environmentability to identify crosspromoting and uppromoting opportunities within the existing account baseexcellent account management writtenverbal communication strategic and analyticalthinking skills about the job as a member of the google cloud team you inspire leading companies schools and government agencies to work smarter with google tools like google workspace search and chrome you advocate the innovative power of our products to make organizations more productive collaborative and mobile your guiding light is doing whats right for the customer you will meet customers exactly where they are at and provide them the best solutions for innovation using your passion for google products you help spread the magic of google to organizations around the world the google workspace team helps customers transform and evolve their business through the use of googles productivity collaboration and content management suite of applications as part of an entrepreneurial team in this growing business you will help shape the future of businesses use technology to connect with customers employees and partners as a google workspace sales specialist you will be responsible for maintenance and expansion of google workspace business growth across the region with customers in this role youll create and execute the strategy and provide unique insights on applying google workspace solutions to enterprisesyou will build an excellent pipeline and work with the account teams to build out the customer solution and establish partnerships you will strategize with partners to increase account and territory business growth you will work directly with customers coordinate internal resources and construct successful strategies at account and territory level google cloud accelerates organizations ability to digitally transform their business with the best infrastructure platform industry solutions and expertise we deliver enterprisegrade solutions that leverage googles cuttingedge technology all on the cleanest cloud in the industry customers in more than countries and territories turn to google cloud as their trusted partner to enable growth and solve their most critical business problems
"description
as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion 
customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team

qualifications
a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business",Apple Solutions Consultant,828,CONSULTANT,apple solutions consultant description as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team qualifications a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business
"description

web designers looking to expand your professional reach welcome to robert half marketing  creative start the process with robert half today

we are searching for highly skilled web designers with experience working within corporate brand standards and guidelines the ideal candidates would have advanced skills in creating wireframes designing mobile applications landing pages interactive sites qa testing experience working with various interfaces and familiarity with uxui design principles candidates are expected to have strong skills in adobe photoshop illustrator and indesign any experience in html css and javascript is a major plus familiarity with content management systems is highly preferred

there is nothing more satisfying when looking for freelance and fulltime creative opportunities than working with someone who knows your area of expertise as industry professionals robert half marketing  creative is a team that puts your needs first and effectively represents you as a creative talent thats the kind of service youll receive from our team at robert half

we have marketing advertising and creative backgrounds just like yours  so were on your side right from the start could you ask for a better support team

requirements
  years experience in a web design role
 experience working within a clients brand standards or guidelines
 advanced skill in the adobe creative cloud

innovation starts with people

robert half is the worlds first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies we offer contract temporary and permanent placement solutions for finance and accounting technology marketing and creative legal and administrative and customer support roles

robert half puts you in the best position to succeed by advocating on your behalf and promoting you to employers we provide access to top jobs competitive compensation and benefits and free online training stay on top of every opportunity  even on the go

questions call your local office at  robert half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the san francisco fair chance ordinance all applicants applying for us job openings must be legally authorized to work in the united states benefits are available to temporary professionals visit

  robert half an equal opportunity employer mfdisabilityveterans by clicking apply now youre agreeing to",Web Designer,2489,DESIGNER,web designer description web designers looking to expand your professional reach welcome to robert half marketing creative start the process with robert half today we are searching for highly skilled web designers with experience working within corporate brand standards and guidelines the ideal candidates would have advanced skills in creating wireframes designing mobile applications landing pages interactive sites qa testing experience working with various interfaces and familiarity with uxui design principles candidates are expected to have strong skills in adobe photoshop illustrator and indesign any experience in html css and javascript is a major plus familiarity with content management systems is highly preferred there is nothing more satisfying when looking for freelance and fulltime creative opportunities than working with someone who knows your area of expertise as industry professionals robert half marketing creative is a team that puts your needs first and effectively represents you as a creative talent thats the kind of service youll receive from our team at robert half we have marketing advertising and creative backgrounds just like yours so were on your side right from the start could you ask for a better support team requirements years experience in a web design role experience working within a clients brand standards or guidelines advanced skill in the adobe creative cloud innovation starts with people robert half is the worlds first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies we offer contract temporary and permanent placement solutions for finance and accounting technology marketing and creative legal and administrative and customer support roles robert half puts you in the best position to succeed by advocating on your behalf and promoting you to employers we provide access to top jobs competitive compensation and benefits and free online training stay on top of every opportunity even on the go questions call your local office at robert half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the san francisco fair chance ordinance all applicants applying for us job openings must be legally authorized to work in the united states benefits are available to temporary professionals visit robert half an equal opportunity employer mfdisabilityveterans by clicking apply now youre agreeing to
"about the position

the web designer is responsible for providing designrelated support for clientrelated and internal projects

additionally the web designer is responsible for providing designrelated support for projects that are currently in development client review and postlaunch when assigned

daytoday
 collaborate closely with design managers on websiterelated projects including finishing projects that have a set art direction to hand over to the development team
 work crossfunctionally with content and development teams which includes facilitating design discussions and adjusting existing designswebsites based on client feedback in preparation for the launch of their sites
 partner with development teams to ensure the implementation of your designs and user experiences are of the highest quality
 use and evolve our design systemlibrary to craft sketches flows prototypes and highfidelity visuals for client websites and product features
 work closely with design leadership to inform and improve our processes identifying opportunities for elevating our product and user experience
 provide designrelated support for postlaunch projects

requirements

our ideal candidate
 is detailoriented has an excellent eye for detail and enjoys delivering pixelperfect and welldocumented designs
 knows how to design websites has experience working with and understanding responsive design patterns and systems
 is prepared to take the baton and run gladly takes on projects with set art direction and finishes off remaining design production work
 has design system experience has experience working with scalable design systems within an inhouse design team
 is a team contributor more than willing to work with design managers to develop the strategy and rationale for features and improvements to internal processes
 can speak up and be understood has strong verbal and written communication skills which is a must for a remote company
 can adjust and pivot can navigate and move forward quickly within a fastscaling company and an everevolving creator website tool
 is hungry to improve gladly welcome feedback on their own performance from design managers along with nondesigners with the intent of professional growth in the company
 most importantly can joke around a sense of humor is a must in our company

our company culture revolves around among other things working hard and laughing harder

requirements
  years of experience as an individual contributor on a web or product design team for desktop and mobile
 an excellent portfolio showcasing a strong foundation in typography interaction and visual design and ideation

bonus props for personal projects that display your design aesthetic and passions
 solid understanding of building usable accessible ada and modular design systems that can scale

bonus props for certification in or related to ada
 experience facilitating the adoption of visual design andor patterns across a design project
 excellent understanding of figma and other design tools
 excellent written and verbal communication skills and ability to clearly communicate design decisions
 strong organizational skills and a selfstarter

benefits
 remote always
 generous pto
 allowance for continuing education or training
 shiny new gear of your choice apple products
 medical dental longterm and short term disability insurance
 companysponsored life insurance

dont meet  of the qualifications above thats okay apply anyway ",Remote Website Designer,3471,DESIGNER,remote website designer about the position the web designer is responsible for providing designrelated support for clientrelated and internal projects additionally the web designer is responsible for providing designrelated support for projects that are currently in development client review and postlaunch when assigned daytoday collaborate closely with design managers on websiterelated projects including finishing projects that have a set art direction to hand over to the development team work crossfunctionally with content and development teams which includes facilitating design discussions and adjusting existing designswebsites based on client feedback in preparation for the launch of their sites partner with development teams to ensure the implementation of your designs and user experiences are of the highest quality use and evolve our design systemlibrary to craft sketches flows prototypes and highfidelity visuals for client websites and product features work closely with design leadership to inform and improve our processes identifying opportunities for elevating our product and user experience provide designrelated support for postlaunch projects requirements our ideal candidate is detailoriented has an excellent eye for detail and enjoys delivering pixelperfect and welldocumented designs knows how to design websites has experience working with and understanding responsive design patterns and systems is prepared to take the baton and run gladly takes on projects with set art direction and finishes off remaining design production work has design system experience has experience working with scalable design systems within an inhouse design team is a team contributor more than willing to work with design managers to develop the strategy and rationale for features and improvements to internal processes can speak up and be understood has strong verbal and written communication skills which is a must for a remote company can adjust and pivot can navigate and move forward quickly within a fastscaling company and an everevolving creator website tool is hungry to improve gladly welcome feedback on their own performance from design managers along with nondesigners with the intent of professional growth in the company most importantly can joke around a sense of humor is a must in our company our company culture revolves around among other things working hard and laughing harder requirements years of experience as an individual contributor on a web or product design team for desktop and mobile an excellent portfolio showcasing a strong foundation in typography interaction and visual design and ideation bonus props for personal projects that display your design aesthetic and passions solid understanding of building usable accessible ada and modular design systems that can scale bonus props for certification in or related to ada experience facilitating the adoption of visual design andor patterns across a design project excellent understanding of figma and other design tools excellent written and verbal communication skills and ability to clearly communicate design decisions strong organizational skills and a selfstarter benefits remote always generous pto allowance for continuing education or training shiny new gear of your choice apple products medical dental longterm and short term disability insurance companysponsored life insurance dont meet of the qualifications above thats okay apply anyway
"job description

zander insurance group is one of the largest direct marketers of insurance and identity theft solutions services in america our company was founded more than  years ago with the mission to protect families today millions of visitors browse our websites they are a vital way we acquire communicate with and keep our clients

the web designer will drive revenue growth through the design and optimization of all clientfacing zander web properties

the ideal candidate is comfortable working with highlevel stakeholders and they understand the importance of getting projects done efficiently most importantly the web designer enjoys working and as a result has a positive attitude that contributes to the overall health of the zander culture we are seeking a contributor who thrives while working autonomously asks questions when necessary and problem solves daily

this is a fulltime position and includes a competitive salary and comprehensive benefits this position reports directly to the evp of marketing and will be based in our nashville tennessee office with opportunities to work remotely

responsibilities include
 designing compelling direct response websites and digital content that supports the zander brand campaign objectives and drives measurable actions
 utilizing knowledge of zander products and services to create designs that support an action or campaign goal
 creating designs that are compatible across multiple devices and screen sizes
 creating mockups to conceptualize designs and presenting ideas to stakeholders
 continually improving the existing user experiences and in the process driving revenue growth
 preproduction image optimization and preparation
 work with key stakeholders to ensure appropriate review and approvals for all clientfacing sites

the ideal candidate
  years of digital design experience driving online sales or marketing
 has the ability to communicate effectively with highlevel clients
 thrives in a fastpaced and teamoriented environment
 is open to new ideas and able to adapt to changes quickly
  years of experience with
 adobe creative suite including photoshop illustrator and indesign
 sketch
 has solid experience with ui wireframing
 has a strong ability to articulate the why when presenting design concepts
 htmlcss and js experience preferred but not required

what we have to offer
 potential to work from home
 monthly profits distributions
 health and dental insurance paid  by zander insurance
  dollarfordollar matching on your k
 generous paid time off

we are an equal opportunity employer applicants are considered for position and are evaluated without regard to mental or physical disability race religion sexual orientation color gender national origin age marital status military or veteran status or any other protected local state or federal status unrelated to the performance of the work involved",Web Designer,2896,DESIGNER,web designer job description zander insurance group is one of the largest direct marketers of insurance and identity theft solutions services in america our company was founded more than years ago with the mission to protect families today millions of visitors browse our websites they are a vital way we acquire communicate with and keep our clients the web designer will drive revenue growth through the design and optimization of all clientfacing zander web properties the ideal candidate is comfortable working with highlevel stakeholders and they understand the importance of getting projects done efficiently most importantly the web designer enjoys working and as a result has a positive attitude that contributes to the overall health of the zander culture we are seeking a contributor who thrives while working autonomously asks questions when necessary and problem solves daily this is a fulltime position and includes a competitive salary and comprehensive benefits this position reports directly to the evp of marketing and will be based in our nashville tennessee office with opportunities to work remotely responsibilities include designing compelling direct response websites and digital content that supports the zander brand campaign objectives and drives measurable actions utilizing knowledge of zander products and services to create designs that support an action or campaign goal creating designs that are compatible across multiple devices and screen sizes creating mockups to conceptualize designs and presenting ideas to stakeholders continually improving the existing user experiences and in the process driving revenue growth preproduction image optimization and preparation work with key stakeholders to ensure appropriate review and approvals for all clientfacing sites the ideal candidate years of digital design experience driving online sales or marketing has the ability to communicate effectively with highlevel clients thrives in a fastpaced and teamoriented environment is open to new ideas and able to adapt to changes quickly years of experience with adobe creative suite including photoshop illustrator and indesign sketch has solid experience with ui wireframing has a strong ability to articulate the why when presenting design concepts htmlcss and js experience preferred but not required what we have to offer potential to work from home monthly profits distributions health and dental insurance paid by zander insurance dollarfordollar matching on your k generous paid time off we are an equal opportunity employer applicants are considered for position and are evaluated without regard to mental or physical disability race religion sexual orientation color gender national origin age marital status military or veteran status or any other protected local state or federal status unrelated to the performance of the work involved
"tuff is a growth marketing team working with clients to drive growth by creating managing measuring and optimizing highperforming user acquisition campaigns were a fully remote and small team with endless opportunities for autonomy ownership and impact

we work with clients in nearly every industry and a typical engagement with tuff includes paid search social ads seo content strategy creative and cro every account has a dedicated growth marketing lead and is supported by various channel experts

for this position we are looking for an experienced web designer to join our cro team you will be the third web designer joining the team  the cro team also includes a conversion rate optimization specialist and ux copywriter

in this role you will work on designs in figma for existing website optimizations and landing page development across  different client accounts this could include testing out different ctas remediating the homepage or other core pages adding in new landing pages refining pricing pages updating user flows redesigning blogs and more

requirements

about you
 you are a skilled web designer who has the flexibility and understanding to work on multiple established brands at once with quick mockup design turnarounds and have a strong understanding of how your designs will be translated in the web build process
 you have  years of experience managing quickturnaround designdevelopment projects in various cms platforms webflow wordpress shopify contentful etc and landing page buildings unbounce and leadpages for startups and scaleups
 you have strong project management skills setting up and adhering to detailed production timelines following up with team members to get what you need and organizing creative assets for developers
 you have a clean aesthetic and a sharp eye for layout color and typography
 youre a strategic thinker and understand how to design digital website experiences that are compelling you have a passion for brand building and can help push user experience forward across all digital touchpoints
 youre curious and solutionoriented and enjoy finding new and innovative design solutions you can work independently but are keen to collaborate across disciplines with developers cro and ux copy to design fresh website experiences

during month  youll
 shadow tuffs cro team lead on three existing tuff clients to learn more about their individual brands and ongoing cro and web design needs
 adopt our existing development and design process by working with our existing web designers lyn and arturo
 learn how to guide and own website project priorities timelines scopes and costs within the tuff process using teamwork and slack
 design at least one website optimization and landing page for  different clients

during months    youll
 work on various website designs ongoing monthly improvements for five tuff clients this includes testing out different ctas remediating the homepage or other core pages adding in new landing pages refining pricing pages updating user flows redesigning blogs and more
 work with growth marketers and the cro team at tuff as well as content and creative to implement website designs and updates for clients
 manage one to three developer contractorsfreelancers who will be responsible for implementing your designs on our clients sites
 fully guide website project priorities timelines scopes and costs within the tuff process

things can change quickly at tuff this breakdown isnt prescriptive but intended to give you a better sense of the role

benefits

about you
 you have  years of experience as a web designer with a background working on sites for companies in various industries
 you have experience working with a creative production team and a familiarity with creative production tools mainly figma and adobe suite
 you have an inclusive handson collaboration style with proven experience clearly communicating timelines and deliverables
 you have a learning mindset you are committed to getting better every day
 you have a bias toward action and are both efficient and adaptable
 you are a driver focused on making an impact on the organization and clients every day
 you have demonstrated success testing and uncovering useful insights and sharing them in an engaging form that inspires people to take action

benefits

we are a passionate team of thirty distributed across the us

youll work closely with the whole team in particular with elle creative strategist lyn web designer arturo web designer and kristin sr growth marketer coo to get up to speed on current clients and iterate on the cro and web design process at tuff

 fully remote  work from anywhere you want

 comprehensive health vision and dental coverage

 k with matching

 unlimited pto policy  and we encourage you to take it

 parental leave   paid  weeks

 home office or coworking space stipend

 month internet reimbursement

 continuing training stipend of  annually

 wellness day every quarter

 annual team retreats

the starting salary range for this role is   we use a compensation formula that adjusts for experience

applicants must be based in the us",Web Designer,5143,DESIGNER,web designer tuff is a growth marketing team working with clients to drive growth by creating managing measuring and optimizing highperforming user acquisition campaigns were a fully remote and small team with endless opportunities for autonomy ownership and impact we work with clients in nearly every industry and a typical engagement with tuff includes paid search social ads seo content strategy creative and cro every account has a dedicated growth marketing lead and is supported by various channel experts for this position we are looking for an experienced web designer to join our cro team you will be the third web designer joining the team the cro team also includes a conversion rate optimization specialist and ux copywriter in this role you will work on designs in figma for existing website optimizations and landing page development across different client accounts this could include testing out different ctas remediating the homepage or other core pages adding in new landing pages refining pricing pages updating user flows redesigning blogs and more requirements about you you are a skilled web designer who has the flexibility and understanding to work on multiple established brands at once with quick mockup design turnarounds and have a strong understanding of how your designs will be translated in the web build process you have years of experience managing quickturnaround designdevelopment projects in various cms platforms webflow wordpress shopify contentful etc and landing page buildings unbounce and leadpages for startups and scaleups you have strong project management skills setting up and adhering to detailed production timelines following up with team members to get what you need and organizing creative assets for developers you have a clean aesthetic and a sharp eye for layout color and typography youre a strategic thinker and understand how to design digital website experiences that are compelling you have a passion for brand building and can help push user experience forward across all digital touchpoints youre curious and solutionoriented and enjoy finding new and innovative design solutions you can work independently but are keen to collaborate across disciplines with developers cro and ux copy to design fresh website experiences during month youll shadow tuffs cro team lead on three existing tuff clients to learn more about their individual brands and ongoing cro and web design needs adopt our existing development and design process by working with our existing web designers lyn and arturo learn how to guide and own website project priorities timelines scopes and costs within the tuff process using teamwork and slack design at least one website optimization and landing page for different clients during months youll work on various website designs ongoing monthly improvements for five tuff clients this includes testing out different ctas remediating the homepage or other core pages adding in new landing pages refining pricing pages updating user flows redesigning blogs and more work with growth marketers and the cro team at tuff as well as content and creative to implement website designs and updates for clients manage one to three developer contractorsfreelancers who will be responsible for implementing your designs on our clients sites fully guide website project priorities timelines scopes and costs within the tuff process things can change quickly at tuff this breakdown isnt prescriptive but intended to give you a better sense of the role benefits about you you have years of experience as a web designer with a background working on sites for companies in various industries you have experience working with a creative production team and a familiarity with creative production tools mainly figma and adobe suite you have an inclusive handson collaboration style with proven experience clearly communicating timelines and deliverables you have a learning mindset you are committed to getting better every day you have a bias toward action and are both efficient and adaptable you are a driver focused on making an impact on the organization and clients every day you have demonstrated success testing and uncovering useful insights and sharing them in an engaging form that inspires people to take action benefits we are a passionate team of thirty distributed across the us youll work closely with the whole team in particular with elle creative strategist lyn web designer arturo web designer and kristin sr growth marketer coo to get up to speed on current clients and iterate on the cro and web design process at tuff fully remote work from anywhere you want comprehensive health vision and dental coverage k with matching unlimited pto policy and we encourage you to take it parental leave paid weeks home office or coworking space stipend month internet reimbursement continuing training stipend of annually wellness day every quarter annual team retreats the starting salary range for this role is we use a compensation formula that adjusts for experience applicants must be based in the us
"type of requisition regular

clearance level must be able to obtain none

job family web design

gdit has over  years of experience supporting the technology science and mission of the environmental protection agency gdit technologists scientists and innovators are experts in moving applications to the cloud modeling massive data sets in highperformance computing environments supporting innovative and bleeding edge technologies and scientific initiatives defending the cyber landscape and driving automation

highlevel skills
 htmlcssjavascript
 drupal 
 section  compliance expertise pertaining to pdfs adobe acrobat pro videos interactive trainings websites and web applications jaws dragon zoomtext articulate
 graphics design adobe photoshop illustrator after effects and lightroom

specific tasks
 designs and builds complex graphics page layouts and animation that suit web pages and enhance its layout to create visual appeal
 creates an advanced detailed draft of the website outlining the various web pages according to client specifications and needs
 provides thorough testing to ensure the website is userfriendly and interactive
 provides thorough review of the final webpage design for the next level production
 collaborates with other web professionals and provide guidance on the implementation of the website
 stays current with the latest design software to improve in knowledge and skills and be able to create better design quality
 provides guidance and leadership to lessexperienced web designer personnel

desired qualifications 

babs or equivalent experience  years of experience

additional job description

covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements

we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done

gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class

covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements

we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done

gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class",SR. Web Designer,4023,DESIGNER,sr web designer type of requisition regular clearance level must be able to obtain none job family web design gdit has over years of experience supporting the technology science and mission of the environmental protection agency gdit technologists scientists and innovators are experts in moving applications to the cloud modeling massive data sets in highperformance computing environments supporting innovative and bleeding edge technologies and scientific initiatives defending the cyber landscape and driving automation highlevel skills htmlcssjavascript drupal section compliance expertise pertaining to pdfs adobe acrobat pro videos interactive trainings websites and web applications jaws dragon zoomtext articulate graphics design adobe photoshop illustrator after effects and lightroom specific tasks designs and builds complex graphics page layouts and animation that suit web pages and enhance its layout to create visual appeal creates an advanced detailed draft of the website outlining the various web pages according to client specifications and needs provides thorough testing to ensure the website is userfriendly and interactive provides thorough review of the final webpage design for the next level production collaborates with other web professionals and provide guidance on the implementation of the website stays current with the latest design software to improve in knowledge and skills and be able to create better design quality provides guidance and leadership to lessexperienced web designer personnel desired qualifications babs or equivalent experience years of experience additional job description covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class
